SO,WC,SC
PLANT CELL AND ENVIRONMENT,Plant Sciences,Plant Sciences
PLANT CELL REPORTS,Plant Sciences,Plant Sciences
PLANT CELL TISSUE AND ORGAN CULTURE,Biotechnology & Applied Microbiology; Plant Sciences,Biotechnology & Applied Microbiology; Plant Sciences
PLANT ECOLOGY,Plant Sciences; Ecology; Forestry,Plant Sciences; Environmental Sciences & Ecology; Forestry
PLANT GROWTH REGULATION,Plant Sciences,Plant Sciences
PLANT PHYSIOLOGY,Plant Sciences,Plant Sciences
PLANT SCIENCE,Biochemistry & Molecular Biology; Plant Sciences,Biochemistry & Molecular Biology; Plant Sciences
PLASMA SOURCES SCIENCE & TECHNOLOGY,"Physics, Fluids & Plasmas",Physics
PLASTIC AND RECONSTRUCTIVE SURGERY,Surgery,Surgery
PLOS COMPUTATIONAL BIOLOGY,Biochemical Research Methods; Mathematical & Computational Biology,Biochemistry & Molecular Biology; Mathematical & Computational Biology
PLOS GENETICS,Genetics & Heredity,Genetics & Heredity
PLOS ONE,Multidisciplinary Sciences,Science & Technology - Other Topics
PLOS PATHOGENS,Microbiology; Parasitology; Virology,Microbiology; Parasitology; Virology
POLYMER BULLETIN,Polymer Science,Polymer Science
POLYMER COMPOSITES,"Materials Science, Composites; Polymer Science",Materials Science; Polymer Science
POLYMER ENGINEERING AND SCIENCE,"Engineering, Chemical; Polymer Science",Engineering; Polymer Science
POSTGRADUATE MEDICAL JOURNAL,"Medicine, General & Internal",General & Internal Medicine
POWDER TECHNOLOGY,"Engineering, Chemical",Engineering
PPAR RESEARCH,"Medicine, Research & Experimental",Research & Experimental Medicine
PRAMANA-JOURNAL OF PHYSICS,"Physics, Multidisciplinary",Physics
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART D-JOURNAL OF AUTOMOBILE ENGINEERING,"Engineering, Mechanical; Transportation Science & Technology",Engineering; Transportation
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Multidisciplinary Sciences,Science & Technology - Other Topics
PROCEEDINGS OF THE NUTRITION SOCIETY,Nutrition & Dietetics,Nutrition & Dietetics
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Biology; Ecology; Evolutionary Biology,Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Evolutionary Biology
PROCESS BIOCHEMISTRY,"Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Engineering, Chemical",Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Engineering
PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,"Engineering, Environmental; Engineering, Chemical",Engineering
PROCESSES,"Engineering, Chemical",Engineering
PROGRESS IN BIOCHEMISTRY AND BIOPHYSICS,Biochemistry & Molecular Biology; Biophysics,Biochemistry & Molecular Biology; Biophysics
PROSTATE,Endocrinology & Metabolism; Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology
PROTEIN & CELL,Cell Biology,Cell Biology
PROTEIN AND PEPTIDE LETTERS,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
PROTEIN EXPRESSION AND PURIFICATION,Biochemical Research Methods; Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology,Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology
PROTEIN JOURNAL,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
PROTEIN SCIENCE,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
PROTEOME SCIENCE,Biochemical Research Methods,Biochemistry & Molecular Biology
PSYCHOLOGIA,"Psychology, Multidisciplinary",Psychology
PSYCHOLOGICAL INQUIRY,"Psychology, Multidisciplinary",Psychology
PSYCHOLOGICAL SCIENCE,"Psychology, Multidisciplinary",Psychology
PSYCHOLOGY & MARKETING,"Business; Psychology, Applied",Business & Economics; Psychology
PUBLIC HEALTH NURSING,"Public, Environmental & Occupational Health; Nursing","Public, Environmental & Occupational Health; Nursing"
PUBLICATIONS OF THE RESEARCH INSTITUTE FOR MATHEMATICAL SCIENCES,Mathematics,Mathematics
PURE AND APPLIED CHEMISTRY,"Chemistry, Multidisciplinary",Chemistry
QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY,Meteorology & Atmospheric Sciences,Meteorology & Atmospheric Sciences
REGENERATIVE MEDICINE,"Cell & Tissue Engineering; Engineering, Biomedical",Cell Biology; Engineering
REGIONAL ANESTHESIA AND PAIN MEDICINE,Anesthesiology,Anesthesiology
REGIONAL STUDIES,Economics; Environmental Studies; Geography,Business & Economics; Environmental Sciences & Ecology; Geography
REJUVENATION RESEARCH,Geriatrics & Gerontology,Geriatrics & Gerontology
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY; Energy & Fuels,Science & Technology - Other Topics; Energy & Fuels
RENEWABLE ENERGY,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY; Energy & Fuels,Science & Technology - Other Topics; Energy & Fuels
REPRODUCTION IN DOMESTIC ANIMALS,"Agriculture, Dairy & Animal Science; Reproductive Biology; Veterinary Sciences",Agriculture; Reproductive Biology; Veterinary Sciences
REPRODUCTION NUTRITION DEVELOPMENT,Developmental Biology; Nutrition & Dietetics; Reproductive Biology; Zoology,Developmental Biology; Nutrition & Dietetics; Reproductive Biology; Zoology
REPRODUCTIVE BIOMEDICINE ONLINE,Obstetrics & Gynecology; Reproductive Biology,Obstetrics & Gynecology; Reproductive Biology
RESEARCH IN VETERINARY SCIENCE,Veterinary Sciences,Veterinary Sciences
RESEARCH POLICY,Management; Planning & Development,Business & Economics; Public Administration
RESPIRATORY MEDICINE,Cardiac & Cardiovascular Systems; Respiratory System,Cardiovascular System & Cardiology; Respiratory System
RESUSCITATION,Critical Care Medicine; Emergency Medicine,General & Internal Medicine; Emergency Medicine
RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES,Ophthalmology,Ophthalmology
RETROVIROLOGY,Virology,Virology
REVIEW OF SCIENTIFIC INSTRUMENTS,"Instruments & Instrumentation; Physics, Applied",Instruments & Instrumentation; Physics
REVIEWS IN FISH BIOLOGY AND FISHERIES,Fisheries; Marine & Freshwater Biology,Fisheries; Marine & Freshwater Biology
REVIEWS IN THE NEUROSCIENCES,Neurosciences,Neurosciences & Neurology
REVISTA ROMANA DE MEDICINA DE LABORATOR,"Medicine, Research & Experimental",Research & Experimental Medicine
RHEOLOGICA ACTA,Mechanics,Mechanics
RHEUMATOLOGY,Rheumatology,Rheumatology
RHEUMATOLOGY INTERNATIONAL,Rheumatology,Rheumatology
RNA-A PUBLICATION OF THE RNA SOCIETY,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
RSC ADVANCES,"Chemistry, Multidisciplinary",Chemistry
RURAL AND REMOTE HEALTH,"Public, Environmental & Occupational Health","Public, Environmental & Occupational Health"
RURAL SOCIOLOGY,Sociology,Sociology
RUSSIAN JOURNAL OF GENERAL CHEMISTRY,"Chemistry, Multidisciplinary",Chemistry
SAFETY SCIENCE,"Engineering, Industrial; Operations Research & Management Science",Engineering; Operations Research & Management Science
SAUDI MEDICAL JOURNAL,"Medicine, General & Internal",General & Internal Medicine
SCANDINAVIAN JOURNAL OF IMMUNOLOGY,Immunology,Immunology
SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,Sport Sciences,Sport Sciences
SCHIZOPHRENIA BULLETIN,Psychiatry,Psychiatry
SCIENCE,Multidisciplinary Sciences,Science & Technology - Other Topics
SCIENCE & JUSTICE,"Medicine, Legal; Pathology",Legal Medicine; Pathology
SCIENCE CHINA-MATHEMATICS,"Mathematics, Applied; Mathematics",Mathematics
SCIENCE IN CHINA SERIES C-LIFE SCIENCES,Biology,Life Sciences & Biomedicine - Other Topics
SCIENCE OF SINTERING,"Materials Science, Ceramics; Metallurgy & Metallurgical Engineering",Materials Science; Metallurgy & Metallurgical Engineering
SCIENCE OF THE TOTAL ENVIRONMENT,Environmental Sciences,Environmental Sciences & Ecology
SCIENCE TRANSLATIONAL MEDICINE,"Cell Biology; Medicine, Research & Experimental",Cell Biology; Research & Experimental Medicine
SCIENTIA HORTICULTURAE,Horticulture,Agriculture
SCIENTIFIC REPORTS,Multidisciplinary Sciences,Science & Technology - Other Topics
SCIENTIFIC WORLD JOURNAL,Multidisciplinary Sciences,Science & Technology - Other Topics
SCIENTOMETRICS,"Computer Science, Interdisciplinary Applications; Information Science & Library Science",Computer Science; Information Science & Library Science
SEDIMENTARY GEOLOGY,Geology,Geology
SELF AND IDENTITY,"Psychology, Social",Psychology
SEMICONDUCTOR SCIENCE AND TECHNOLOGY,"Engineering, Electrical & Electronic; Materials Science, Multidisciplinary; Physics, Condensed Matter",Engineering; Materials Science; Physics
SEMIGROUP FORUM,Mathematics,Mathematics
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,Cell Biology; Developmental Biology,Cell Biology; Developmental Biology
SEMINARS IN CUTANEOUS MEDICINE AND SURGERY,Dermatology; Surgery,Dermatology; Surgery
SEMINARS IN PERINATOLOGY,Obstetrics & Gynecology; Pediatrics,Obstetrics & Gynecology; Pediatrics
SENSORS,"Chemistry, Analytical; Electrochemistry; Instruments & Instrumentation",Chemistry; Electrochemistry; Instruments & Instrumentation
SENSORS AND ACTUATORS B-CHEMICAL,"Chemistry, Analytical; Electrochemistry; Instruments & Instrumentation",Chemistry; Electrochemistry; Instruments & Instrumentation
SEXUALLY TRANSMITTED DISEASES,Infectious Diseases,Infectious Diseases
SHOCK,Critical Care Medicine; Hematology; Surgery; Peripheral Vascular Disease,General & Internal Medicine; Hematology; Surgery; Cardiovascular System & Cardiology
SILICON,"Chemistry, Physical; Materials Science, Multidisciplinary",Chemistry; Materials Science
SINGAPORE MEDICAL JOURNAL,"Medicine, General & Internal",General & Internal Medicine
SLEEP,Clinical Neurology; Neurosciences,Neurosciences & Neurology
SLEEP MEDICINE,Clinical Neurology,Neurosciences & Neurology
SMALL,"Chemistry, Multidisciplinary; Chemistry, Physical; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Physics, Applied; Physics, Condensed Matter",Chemistry; Science & Technology - Other Topics; Materials Science; Physics
SOCIAL COGNITION,"Psychology, Social",Psychology
SOCIAL INFLUENCE,"Psychology, Social",Psychology
SOCIAL PSYCHOLOGY QUARTERLY,"Psychology, Social",Psychology
SOCIETY & NATURAL RESOURCES,Environmental Studies; Planning & Development; Sociology,Environmental Sciences & Ecology; Public Administration; Sociology
SOCIOLOGIA RURALIS,Sociology,Sociology
SOCIOLOGY OF RELIGION,Sociology; Religion,Sociology; Religion
SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,Sociology,Sociology
SOLAR PHYSICS,Astronomy & Astrophysics,Astronomy & Astrophysics
SOLID STATE COMMUNICATIONS,"Physics, Condensed Matter",Physics
SOUTH AFRICAN JOURNAL OF BOTANY,Plant Sciences,Plant Sciences
SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,Spectroscopy,Spectroscopy
SPECTROSCOPY LETTERS,Spectroscopy,Spectroscopy
SPRINGERPLUS,Multidisciplinary Sciences,Science & Technology - Other Topics
STEM CELLS,Cell & Tissue Engineering; Biotechnology & Applied Microbiology; Oncology; Cell Biology; Hematology,Cell Biology; Biotechnology & Applied Microbiology; Oncology; Hematology
STEM CELLS AND DEVELOPMENT,"Cell & Tissue Engineering; Hematology; Medicine, Research & Experimental; Transplantation",Cell Biology; Hematology; Research & Experimental Medicine; Transplantation
STRATEGIC ORGANIZATION,Business; Management,Business & Economics
STUDIES IN FRENCH CINEMA,"Film, Radio, Television","Film, Radio & Television"
SUPRAMOLECULAR CHEMISTRY,"Chemistry, Multidisciplinary",Chemistry
SURFACE AND INTERFACE ANALYSIS,"Chemistry, Physical",Chemistry
SURGEON-JOURNAL OF THE ROYAL COLLEGES OF SURGEONS OF EDINBURGH AND IRELAND,Surgery,Surgery
SURGERY,Surgery,Surgery
SURGERY FOR OBESITY AND RELATED DISEASES,Surgery,Surgery
SURGERY TODAY,Surgery,Surgery
SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES,Surgery,Surgery
SURGICAL LAPAROSCOPY ENDOSCOPY & PERCUTANEOUS TECHNIQUES,Surgery,Surgery
SUSTAINABILITY,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY; Environmental Sciences; Environmental Studies,Science & Technology - Other Topics; Environmental Sciences & Ecology
SWISS MEDICAL WEEKLY,"Medicine, General & Internal",General & Internal Medicine
SYNTHESIS AND REACTIVITY IN INORGANIC METAL-ORGANIC AND NANO-METAL CHEMISTRY,"Chemistry, Inorganic & Nuclear; Nanoscience & Nanotechnology",Chemistry; Science & Technology - Other Topics
SYNTHETIC COMMUNICATIONS,"Chemistry, Organic",Chemistry
SYSTEMS BIOLOGY IN REPRODUCTIVE MEDICINE,Andrology; Reproductive Biology,Endocrinology & Metabolism; Reproductive Biology
TALANTA,"Chemistry, Analytical",Chemistry
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,Business; Planning & Development,Business & Economics; Public Administration
TECTONOPHYSICS,Geochemistry & Geophysics,Geochemistry & Geophysics
TERRORISM AND POLITICAL VIOLENCE,International Relations; Political Science,International Relations; Government & Law
TETRAHEDRON,"Chemistry, Organic",Chemistry
TETRAHEDRON LETTERS,"Chemistry, Organic",Chemistry
TETRAHEDRON-ASYMMETRY,"Chemistry, Inorganic & Nuclear; Chemistry, Organic; Chemistry, Physical",Chemistry
THEORETICAL COMPUTER SCIENCE,"Computer Science, Theory & Methods",Computer Science
THERAPEUTIC APHERESIS AND DIALYSIS,Hematology; Urology & Nephrology,Hematology; Urology & Nephrology
THERAPEUTICS AND CLINICAL RISK MANAGEMENT,Health Care Sciences & Services,Health Care Sciences & Services
THERMAL SCIENCE,Thermodynamics,Thermodynamics
THERMOCHIMICA ACTA,"Thermodynamics; Chemistry, Analytical; Chemistry, Physical",Thermodynamics; Chemistry
THIN SOLID FILMS,"Materials Science, Multidisciplinary; Materials Science, Coatings & Films; Physics, Applied; Physics, Condensed Matter",Materials Science; Physics
THIN-WALLED STRUCTURES,"Engineering, Civil",Engineering
THORAX,Respiratory System,Respiratory System
THYROID,Endocrinology & Metabolism,Endocrinology & Metabolism
TISSUE ANTIGENS,Cell Biology; Immunology; Pathology,Cell Biology; Immunology; Pathology
TISSUE ENGINEERING AND REGENERATIVE MEDICINE,"Cell & Tissue Engineering; Engineering, Biomedical",Cell Biology; Engineering
TISSUE ENGINEERING PART A,Cell & Tissue Engineering; Biotechnology & Applied Microbiology; Cell Biology,Cell Biology; Biotechnology & Applied Microbiology
TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,"Medicine, General & Internal; Medicine, Research & Experimental",General & Internal Medicine; Research & Experimental Medicine
TOPOI-AN INTERNATIONAL REVIEW OF PHILOSOPHY,Philosophy,Philosophy
TOXICOLOGIC PATHOLOGY,Pathology; Toxicology,Pathology; Toxicology
TOXICOLOGY,Pharmacology & Pharmacy; Toxicology,Pharmacology & Pharmacy; Toxicology
TOXICOLOGY AND INDUSTRIAL HEALTH,"Public, Environmental & Occupational Health; Toxicology","Public, Environmental & Occupational Health; Toxicology"
TOXICOLOGY IN VITRO,Toxicology,Toxicology
TOXICOLOGY MECHANISMS AND METHODS,Toxicology,Toxicology
TOXINS,Toxicology,Toxicology
TRANSFUSION MEDICINE,Hematology,Hematology
TRANSLATIONAL RESEARCH,"Medical Laboratory Technology; Medicine, General & Internal; Medicine, Research & Experimental",Medical Laboratory Technology; General & Internal Medicine; Research & Experimental Medicine
TRANSPLANT IMMUNOLOGY,Immunology; Transplantation,Immunology; Transplantation
TRANSPLANTATION,Immunology; Surgery; Transplantation,Immunology; Surgery; Transplantation
TRANSPLANTATION PROCEEDINGS,Immunology; Surgery; Transplantation,Immunology; Surgery; Transplantation
TRANSPORT IN POROUS MEDIA,"Engineering, Chemical",Engineering
TRANSPORT REVIEWS,Transportation,Transportation
TRENDS IN FOOD SCIENCE & TECHNOLOGY,Food Science & Technology,Food Science & Technology
TRIBOLOGY LETTERS,"Engineering, Chemical; Engineering, Mechanical",Engineering
TROPICAL ANIMAL HEALTH AND PRODUCTION,"Agriculture, Dairy & Animal Science; Veterinary Sciences",Agriculture; Veterinary Sciences
TROPICAL DOCTOR,"Public, Environmental & Occupational Health; Tropical Medicine","Public, Environmental & Occupational Health; Tropical Medicine"
TUMOR BIOLOGY,Oncology,Oncology
TURKISH JOURNAL OF GASTROENTEROLOGY,Gastroenterology & Hepatology,Gastroenterology & Hepatology
ULTRAMICROSCOPY,Microscopy,Microscopy
UROLOGIA INTERNATIONALIS,Urology & Nephrology,Urology & Nephrology
UROLOGY,Urology & Nephrology,Urology & Nephrology
VASCULAR PHARMACOLOGY,Pharmacology & Pharmacy,Pharmacology & Pharmacy
VETERINARY CLINICS OF NORTH AMERICA-SMALL ANIMAL PRACTICE,Veterinary Sciences,Veterinary Sciences
VETERINARY PATHOLOGY,Pathology; Veterinary Sciences,Pathology; Veterinary Sciences
VIRAL IMMUNOLOGY,Immunology; Virology,Immunology; Virology
VIROLOGY,Virology,Virology
VIROLOGY JOURNAL,Virology,Virology
VIRUS RESEARCH,Virology,Virology
VISUAL COMPUTER,"Computer Science, Software Engineering",Computer Science
VOX SANGUINIS,Hematology,Hematology
WATER AIR AND SOIL POLLUTION,Environmental Sciences; Meteorology & Atmospheric Sciences; Water Resources,Environmental Sciences & Ecology; Meteorology & Atmospheric Sciences; Water Resources
WATER RESEARCH,"Engineering, Environmental; Environmental Sciences; Water Resources",Engineering; Environmental Sciences & Ecology; Water Resources
WESTERN NORTH AMERICAN NATURALIST,Biodiversity Conservation; Ecology,Biodiversity & Conservation; Environmental Sciences & Ecology
WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY,Biotechnology & Applied Microbiology,Biotechnology & Applied Microbiology
WORLD JOURNAL OF SURGERY,Surgery,Surgery
WORLD JOURNAL OF SURGICAL ONCOLOGY,Oncology; Surgery,Oncology; Surgery
WORLD JOURNAL OF UROLOGY,Urology & Nephrology,Urology & Nephrology
WOUND REPAIR AND REGENERATION,"Cell Biology; Dermatology; Medicine, Research & Experimental; Surgery",Cell Biology; Dermatology; Research & Experimental Medicine; Surgery
YONSEI MEDICAL JOURNAL,"Medicine, General & Internal",General & Internal Medicine
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES,"Chemistry, Physical; Physics, Multidisciplinary",Chemistry; Physics
ZOOLOGICAL SCIENCE,Zoology,Zoology
ZOOTAXA,Zoology,Zoology
